gene,f_statistic,p_value,mean_ALL,mean_CLL,mean_AML,mean_CML
M25915,289.7415772877132,3.206625591719816e-134,0.1265890173253031,0.24270714999261045,0.35745779862074756,0.2976295008042524
L21181,289.72181701082775,3.2570638830207264e-134,0.18421731337716957,0.16409582978817897,0.31424431473828474,0.4522445049396781
NM_013378,289.57261025057085,3.664486322855547e-134,0.48672017927170486,0.4076096204262746,0.17389945305362053,0.17198647086530233
W63676,287.3032225710358,2.208439539336597e-133,0.32799958632489956,0.19876747414909837,0.3527826146885811,0.5393742066483165
NM_000626,286.78822584402735,3.322857574838867e-133,0.49165741781439254,0.5272853878731466,0.32397817834805887,0.28746774792671204
NM_021991,286.39304823530944,4.547360134784523e-133,0.47304755582051233,0.1870608777161452,0.38972777067339376,0.19589748328854872
BC002490,286.305032509506,4.8765988462119045e-133,0.4366822600911517,0.6621464689572653,0.5181872393602527,0.35235237590102264
NM_001449,283.82960593548154,3.4971786609711846e-132,0.630682266667622,0.3776949633714519,0.47831226061986115,0.4150544813899107
NM_014688,283.2300517877355,5.642480556100987e-132,0.3624860922541093,0.4617327224809032,0.31439607348365545,0.26440589580424995
NM_013314,282.1480657246984,1.3393978647887377e-131,0.5471294412150158,0.5787951723684238,0.2594004263630289,0.16075867284522505
BC003355,281.69908575261445,1.918219348234935e-131,0.14765242386049668,0.3732665819017696,0.240052612121525,0.141463665356643
NM_001321,281.2935184599633,2.6540154774777895e-131,0.43945263448564353,0.15632660522711175,0.2053073564768997,0.12240964503482331
